timestamp	exp_id	code_sha	parent_sha	description	status	gguf_size_bytes	base_type	diffusion	refine_iterations	model_size_mb	quantize_time_s	eval_time_s	tokens_per_sec	ppl	ppl_base	ppl_cor	ppl_ln_ratio	ppl_ratio	ppl_diff	kld_mean	kld_max	kld_99_9	kld_99_0	kld_95_0	kld_90_0	kld_median	kld_10_0	kld_5_0	kld_1_0	kld_0_1	kld_min	dp_mean	dp_max	dp_99_9	dp_99_0	dp_95_0	dp_90_0	dp_75_0	dp_median	dp_25_0	dp_10_0	dp_5_0	dp_1_0	dp_0_1	dp_min	dp_rms	same_top_p
2026-07-11T06:06:00	exp-048	febaf53c2	352bf8cd3	3-bit element quantization in 108-byte block (256×3bit=96B qs, 5+3 sc/m scales, 140→108B block, 22.9% reduction per block)	REGRESSION	463566528	Q4_K_M_CLONE	0	0	442.07	23.72	680	813	8971.683765	21.522114	51.56	6.032748	416.858858	8950.161651	5.942218	19.967436	17.883617	14.927320	11.531462	9.958899	5.419157	2.661176	1.466464	0.514516	0.207076	0.050332	-28.442	69.675	42.397	7.407	-0.000	-0.014	-0.583	-11.599	-52.958	-88.344	-96.681	-99.616	-99.944	-99.991	44.192	6.113
2026-07-11T09:27:00	exp-047	3724a4a81b9754f1ea2e1ebbbf22d48831952b05	da09d2a6ed3133befd0bc329314d249238f36175	136-byte block — 8-bit log d/dmin encoding + 3+3 bit sc/m in 6-byte scales. 2+6+128=136B (4.25 bpw). Save 4B alignment waste vs exp-044. Replace ggml_half d/dmin with uint8 d8/m8 log encoding. Reduce sc 5→3 bits (8 levels). Pack 8×(3+3)=48 bits into 6 bytes. Remove GGML_EXTENSION union.	REGRESSION	506180288	Q4_K_M_CLONE	0	0	482.71	23.18	81	7310	4395100.563885	21.522114	1.90	12.226920	204213.239315	4395079.041772	12.566970	23.637543	22.003120	19.514778	16.974979	15.789588	12.346918	9.736747	9.075926	7.801227	6.971299	5.896513	-31.108	2.495	0.019	-0.000	-0.006	-0.042	-0.875	-13.325	-58.882	-94.231	-98.587	-99.839	-99.984	-99.999	47.079	0.003
2026-07-11T07:06:58-05:00	exp-049	46342980e0f73ad939e8963ab94794aecce4475b	a2231593a519db6fc30939b8892ba5532fb1f4a8	4+4 bit dm_idx codebook — 137B struct (d/dmin → 4+4 bit indices into analytic log-spaced codebook). CLONE_D_MIN=5e-6 MAX=0.5 DMIN_MIN=1e-8 MAX=0.1. First attempt at per-tensor codebook amortization.	REGRESSION	507702208	Q4_K_M_CLONE	0	0	484.16	17.99	577.5s	221645	8182.789	21.522	50.13	5.940707	380.204	8161.267	5.900423	20.900	18.185	14.612	11.132	9.626	5.509	2.779	1.744	0.628	0.239	0.042	-29.328	79.015	21.310	3.005	-0.001	-0.018	-0.616	-11.772	-55.494	-90.532	-97.087	-99.635	-99.953	-99.988	45.201	4.636
2026-07-11T07:23:00	exp-050	5b5269ecf	f300b889c	Data-driven d/dmin codebook: dm_idx(1B), scales(8B), qs(128B) = 137B block. 16x16 log-spaced codebook with bounds from actual quantize stats (d: 1.62e-4..1.75e-2, dmin: 6.49e-3..7.17e-1). Same 5+3 bit sc/m. Much better than exp-049's fixed bounds but 16-level quantization of both d and dmin is too coarse.	REGRESSION	507702208	Q4_K_M_CLONE	0	0	484.16	22.32	620	828	26.293	21.522	97.63	0.200218	1.221669	4.770792	0.171379	8.568344	2.182178	0.942470	0.475651	0.347155	0.124071	0.016865	0.006257	0.000985	0.000126	0.000019	-2.533	53.133	32.042	17.270	8.252	4.172	0.269	-0.162	-3.613	-11.931	-19.557	-41.877	-74.919	-96.815	9.941	79.055
2026-07-11T10:55:00	exp-052	TBD	805fa4d38	Aggressive MSE local search: d/dmin \302\2615% 21-step, ls/lm \302\2612 5-step, 6 phases with simulated annealing (T=0.01,0.001 SA + deterministic). KLD +6.3%, STP -0.52pp vs exp-044 — wider search overfits to MSE objective.	REGRESSION	512267968	Q4_K_M_CLONE	0	0	488.52	113.48	76	7014	22.278196	21.522114	99.17	0.034527	1.035130	0.756082	0.062351	5.269914	0.989773	0.338912	0.168536	0.124399	0.045108	0.005452	0.001856	0.000228	0.000026	0.000000	-0.411	59.544	25.019	14.257	6.943	4.074	0.730	-0.002	-1.119	-4.978	-8.550	-19.892	-46.228	-96.221	5.546	86.639
2026-07-11T16:28:30	exp-053	76ed0402d	58bef42f7	Mixed precision: 4-bit low-freq(0-127) 3-bit high-freq(128-255) 112B qs + 12B 6+6 scales = 128B struct	REGRESSION	494004928	Q4_K_M_CLONE	0	0	471.10	23.12	625	819	26.733809	21.522114	97.59	0.216848	1.242155	5.211695	0.182729	5.117605	2.662662	0.987177	0.502210	0.368928	0.133830	0.017015	0.006255	0.000807	0.000061	-0.000003	-2.31	53.35	33.64	18.58	8.66	4.47	0.32	-0.13	-3.39	-11.75	-19.04	-38.82	-72.70	-96.78	9.72	78.076
2026-07-11T11:32:00	exp-054	81fc0a03c	bc3aeda50	Validation: clean rebuild + re-eval of current state (exp-044 config: 140B block, 5+3 sc/m, FWHT) — verify quality reproduces exp-044	SUCCESS	512267968	Q4_K_M_CLONE	0	0	488.52	22.64	73	7014	22.473677	21.522114	99.22	0.043264	1.044213	0.951563	0.058633	4.109398	0.879319	0.309994	0.157479	0.117622	0.043168	0.005396	0.001782	0.000204	0.000012	-0.000001	-0.404	58.315	27.009	13.781	6.931	4.057	0.731	-0.002	-1.163	-5.120	-8.775	-18.334	-38.865	-86.875	5.337	87.162
2026-07-11T18:00:00	exp-055	a42db9967e17c8ebb0678c44bc0df76c2aba9000	81fc0a03ce4d4c0060e3a4c55e6b4ffa51b5a196	140B struct with 4+4 bit d/dmin codebook + 3+3 sc/m 137B struct — sub-agent incomplete/unrecoverable	FAILED	0	Q4_K_M_CLONE	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2026-07-11T13:30:00	exp-056	833cb8e54d224060106ed6404a5a17bef4a19d1b	88772ebb977fdb864290e363919e3b77a6573db3	Symmetric quantization (no dmin, per-sub-block mins) 136-byte struct — 6-bit scales packed in 6B. FWHT zero-mean makes mins appear redundant but per-sub-block centering is essential even in FWHT space.	REGRESSION	506180288	Q4_K_M_CLONE	0	0	482.71	9.87	608	172	24.683257	21.522114	98.67	0.137044	1.146879	3.161143	0.101478	6.642207	1.370912	0.538391	0.275307	0.203294	0.074559	0.011299	0.004296	0.000647	0.000075	0.000018	-2.077	49.970	26.687	13.537	6.017	2.733	0.121	-0.190	-3.174	-9.478	-14.846	-29.239	-53.509	-92.635	7.463	83.565
2026-07-11T20:35:00	exp-057	4c5538f0a	a25ac5ca1	Sanity check — clean rebuild + re-eval of current 140B block (5+3 sc/m, FWHT) to confirm nothing broken against exp-044/054. Confirms KLD=0.058633, STP=87.162%, size=512,267,968 B (identical to exp-044).	SUCCESS	512267968	Q4_K_M_CLONE	0	0	488.52	21.77	73	7014	22.473677	21.522114	99.22	0.043264	1.044213	0.951563	0.058633	4.109398	0.879319	0.309994	0.157479	0.117622	0.043168	0.005396	0.001782	0.000204	0.000012	-0.000001	-0.404	58.315	27.009	13.781	6.931	4.057	0.731	-0.002	-1.163	-5.120	-8.775	-18.334	-38.865	-86.875	5.337	87.162
2026-07-11T15:28:00	exp-058	830fa2866	6a2d9ef45c610e45cb908e5f0740958f38058611	GGUF binary format optimization: align=1 + general.alignment key set (no padding savings — all tensor sizes naturally 32B-aligned)	NULL	512267986	Q4_K_M_CLONE	0	0	488.52	18.34	73	7014	22.473677	21.522114	99.22	0.043264	1.044213	0.951563	0.058633	4.109398	0.879319	0.309994	0.157479	0.117622	0.043168	0.005396	0.001782	0.000204	0.000012	-0.000001	-0.404	58.315	27.009	13.781	6.931	4.057	0.731	-0.002	-1.163	-5.120	-8.775	-18.334	-38.865	-86.875	5.337	87.162
2026-07-11T16:30:00	exp-059	772ff8aa1493fec54d3336aaf7bb81817d5d173a	830fa2866a34347d1024483090ed593770df1d55	Max Quality 144B: restored 12-byte scales (6+6 bit K4 format) with sc=5,m=6, FWHT preprocessing, local MSE search on d/dmin (±2%) and ls/lm (±1), metadata stripping. Compare to exp-044 140B baseline.	SUCCESS	518355648	Q4_K_M_CLONE	0	0	494.32	17.74	73	102.59	22.506009	21.522114	99.31	0.044701	1.045716	0.983895	0.051201	3.026608	0.751212	0.274505	0.140329	0.103571	0.037188	0.004611	0.001587	0.000202	0.000018	-0.000002	-0.499	48.772	23.274	12.249	6.035	3.442	0.572	-0.004	-1.158	-4.843	-8.205	-17.550	-38.634	-71.221	4.920	87.871
2026-07-11T16:46:00	exp-060	afd696cd7	772ff8aa1493fec54d3336aaf7bb81817d5d173a	142B block with 5+5 bit sc/m in 10-byte scales, remove ggml_half2 union for 2-byte alignment, separate d/dmin fields	SUCCESS	515311808	Q4_K_M_CLONE	0	0	491.44	19.49	73	7014	22.998578	21.522114	99.28	0.066351	1.068602	1.476464	0.052577	3.050229	0.858589	0.298134	0.145548	0.106258	0.037507	0.004483	0.001540	0.000168	0.000018	-0.000001	-0.662	51.310	22.242	12.485	6.016	3.320	0.475	-0.009	-1.322	-5.245	-8.786	-19.275	-41.442	-73.582	5.179	87.591
